course,year,runs,wins,avg_field,median_winner_bsp
AINTREE,2025,281,35,9.3,5.2
AINTREE,2026,380,29,17.3,6.8
ASCOT,2022,1043,83,16.0,7.2
ASCOT,2023,1028,82,15.9,8.1
ASCOT,2024,1043,82,16.2,6.2
ASCOT,2025,1773,157,14.1,6.2
ASCOT,2026,1395,75,11.4,4.9
AYR,2022,972,103,11.1,5.6
AYR,2023,912,102,10.5,6.2
AYR,2024,831,91,10.7,6.0
AYR,2025,1337,143,10.8,4.6
AYR,2026,1263,140,10.1,5.1
BALLINROBE,2025,714,67,11.6,6.0
BALLINROBE,2026,665,59,12.3,5.5
BANGOR-ON-DEE,2025,376,52,8.0,4.2
BANGOR-ON-DEE,2026,368,47,8.6,4.5
BATH,2022,455,56,9.0,6.5
BATH,2023,927,100,10.4,5.7
BATH,2024,947,102,10.2,5.7
BATH,2025,1089,127,9.3,5.4
BATH,2026,1243,101,9.3,5.1
BELLEWSTOWN,2025,574,51,12.2,5.7
BELLEWSTOWN,2026,647,43,13.5,8.5
BEVERLEY,2022,678,75,9.8,4.9
BEVERLEY,2023,785,83,10.1,5.5
BEVERLEY,2024,689,75,9.8,4.7
BEVERLEY,2025,999,122,9.0,4.9
BEVERLEY,2026,962,97,9.2,5.5
BRIGHTON,2022,768,106,8.2,5.0
BRIGHTON,2023,742,104,7.9,4.5
BRIGHTON,2024,815,109,8.2,4.5
BRIGHTON,2025,1062,140,8.4,5.5
BRIGHTON,2026,505,70,8.1,5.0
CARLISLE,2022,643,71,9.6,6.1
CARLISLE,2023,531,60,9.4,6.9
CARLISLE,2024,537,61,9.5,6.4
CARLISLE,2025,1075,121,9.8,5.0
CARLISLE,2026,950,113,9.2,4.9
CARTMEL,2025,516,61,8.9,4.8
CARTMEL,2026,368,47,8.7,4.3
CATTERICK,2022,799,89,9.8,5.4
CATTERICK,2023,743,85,9.4,6.0
CATTERICK,2024,806,92,9.4,6.3
CATTERICK,2025,1077,126,9.2,4.7
CATTERICK,2026,1058,121,8.6,4.8
CHELMSFORD,2022,2052,228,9.6,5.4
CHELMSFORD,2023,2159,249,9.3,5.7
CHELMSFORD,2024,2063,228,9.7,5.8
CHELMSFORD,2025,2448,285,9.5,5.0
CHELMSFORD,2026,680,90,8.1,5.1
CHELTENHAM,2025,570,54,12.1,7.6
CHELTENHAM,2026,600,43,17.3,8.6
